,home_teams,away_teams,home_goals,away_goals,year
0,russia,saudi arabia,5,0,2018
1,egypt,uruguay,0,1,2018
2,morocco,ir iran,0,1,2018
3,portugal,spain,3,3,2018
4,france,australia,2,1,2018
5,argentina,iceland,1,1,2018
6,peru,denmark,0,1,2018
7,croatia,nigeria,2,0,2018
8,costa rica,serbia,0,1,2018
9,germany,mexico,0,1,2018
10,brazil,switzerland,1,1,2018
11,sweden,korea republic,1,0,2018
12,belgium,panama,3,0,2018
13,tunisia,england,1,2,2018
14,colombia,japan,1,2,2018
15,poland,senegal,1,2,2018
16,russia,egypt,3,1,2018
17,portugal,morocco,1,0,2018
18,uruguay,saudi arabia,1,0,2018
19,ir iran,spain,0,1,2018
20,denmark,australia,1,1,2018
21,france,peru,1,0,2018
22,argentina,croatia,0,3,2018
23,brazil,costa rica,2,0,2018
24,nigeria,iceland,2,0,2018
25,serbia,switzerland,1,2,2018
26,belgium,tunisia,5,2,2018
27,korea republic,mexico,1,2,2018
28,germany,sweden,2,1,2018
29,england,panama,6,1,2018
30,japan,senegal,2,2,2018
31,poland,colombia,0,3,2018
32,saudi arabia,egypt,2,1,2018
33,uruguay,russia,3,0,2018
34,ir iran,portugal,1,1,2018
35,spain,morocco,2,2,2018
36,denmark,france,0,0,2018
37,australia,peru,0,2,2018
38,nigeria,argentina,1,2,2018
39,iceland,croatia,1,2,2018
40,mexico,sweden,0,3,2018
41,korea republic,germany,2,0,2018
42,switzerland,costa rica,2,2,2018
43,serbia,brazil,0,2,2018
44,japan,poland,0,1,2018
45,senegal,colombia,0,1,2018
46,england,belgium,0,1,2018
47,panama,tunisia,1,2,2018
48,brazil,croatia,3,1,2014
49,mexico,cameroon,1,0,2014
50,spain,netherlands,1,5,2014
51,chile,australia,3,1,2014
52,colombia,greece,3,0,2014
53,uruguay,costa rica,1,3,2014
54,england,italy,1,2,2014
55,côte d'ivoire,japan,2,1,2014
56,switzerland,ecuador,2,1,2014
57,france,honduras,3,0,2014
58,argentina,bosnia-herzegovina,2,1,2014
59,germany,portugal,4,0,2014
60,iran,nigeria,0,0,2014
61,ghana,united states,1,2,2014
62,belgium,algeria,2,1,2014
63,brazil,mexico,0,0,2014
64,russia,korea republic,1,1,2014
65,australia,netherlands,2,3,2014
66,spain,chile,0,2,2014
67,cameroon,croatia,0,4,2014
68,colombia,côte d'ivoire,2,1,2014
69,uruguay,england,2,1,2014
70,japan,greece,0,0,2014
71,italy,costa rica,0,1,2014
72,switzerland,france,2,5,2014
73,honduras,ecuador,1,2,2014
74,argentina,iran,1,0,2014
75,germany,ghana,2,2,2014
76,nigeria,bosnia-herzegovina,1,0,2014
77,belgium,russia,1,0,2014
78,korea republic,algeria,2,4,2014
79,united states,portugal,2,2,2014
80,netherlands,chile,2,0,2014
81,australia,spain,0,3,2014
82,croatia,mexico,1,3,2014
83,cameroon,brazil,1,4,2014
84,costa rica,england,0,0,2014
85,italy,uruguay,0,1,2014
86,japan,colombia,1,4,2014
87,greece,côte d'ivoire,2,1,2014
88,nigeria,argentina,2,3,2014
89,bosnia-herzegovina,iran,3,1,2014
90,ecuador,france,0,0,2014
91,honduras,switzerland,0,3,2014
92,united states,germany,0,1,2014
93,portugal,ghana,2,1,2014
94,algeria,russia,1,1,2014
95,korea republic,belgium,0,1,2014
96,south africa,mexico,1,1,2010
97,uruguay,france,0,0,2010
98,korea republic,greece,2,0,2010
99,argentina,nigeria,1,0,2010
100,england,united states,1,1,2010
101,algeria,slovenia,0,1,2010
102,serbia,ghana,0,1,2010
103,germany,australia,4,0,2010
104,netherlands,denmark,2,0,2010
105,japan,cameroon,1,0,2010
106,italy,paraguay,1,1,2010
107,new zealand,slovakia,1,1,2010
108,côte d'ivoire,portugal,0,0,2010
109,brazil,korea dpr,2,1,2010
110,honduras,chile,0,1,2010
111,spain,switzerland,0,1,2010
112,south africa,uruguay,0,3,2010
113,argentina,korea republic,4,1,2010
114,greece,nigeria,2,1,2010
115,france,mexico,0,2,2010
116,germany,serbia,0,1,2010
117,slovenia,united states,2,2,2010
118,england,algeria,0,0,2010
119,netherlands,japan,1,0,2010
120,ghana,australia,1,1,2010
121,cameroon,denmark,1,2,2010
122,slovakia,paraguay,0,2,2010
123,italy,new zealand,1,1,2010
