,Team,avg_points
0,brazil,2005.15
1,argentina,1957.44
2,belgium,1920.855
3,france,1882.3899999999999
4,spain,1880.1100000000001
5,netherlands,1867.255
6,portugal,1840.28
7,england,1824.2350000000001
8,denmark,1818.7849999999999
9,germany,1805.105
10,uruguay,1787.355
11,croatia,1783.8200000000002
12,switzerland,1782.46
13,mexico,1732.9450000000002
14,serbia,1727.81
15,usa,1712.74
16,iran,1690.8049999999998
17,wales,1679.9099999999999
18,poland,1678.795
19,japan,1678.77
20,morocco,1658.25
21,korea republic,1658.15
22,ecuador,1648.6950000000002
23,senegal,1635.69
24,costa rica,1623.295
25,canada,1620.0
26,australia,1603.8600000000001
27,tunisia,1597.27
28,qatar,1559.9450000000002
29,cameroon,1540.22
30,saudi arabia,1538.8899999999999
31,ghana,1466.5
